brightness
167.8932
223.3596
171.3472
212.4244
172.6876
188.7984
215.2828
189.3408
122.8048
142.1696
148.8552
163.188
118.4936
154.7404
128.0708
134.5844
124.7476
167.3896
191.8924
133.7452
142.3344
122.8828
119.656
101.6792
124.3052
125.938
123.6976
117.6472
119.5076
121.2224
120.8656
114.1652
128.6368
128.8964
138.7188
138.024
114.8664
127.0804
119.7924
114.7632
212.4268
182.4436
104.3956
113.4448
112.9132
132.2236
166.824
180.568
118.7588
119.9808
123.904
111.5536
186.1636
126.508
119.324
122.4912
118.0768
123.9276
119.6908
214.5444
104.3344
103.5296
101.6736
164.8572
157.0916
104.6128
142.588
205.1452
132.9304
143.7352
187.9888
114.1864
113.2552
182.1068
114.2644
108.2704
117.1128
141.0516
157.8032
105.2884
121.3028
134.796
123.696
108.5912
212.962
143.6028
114.2468
109.2108
115.7928
115.0216
170.3144
99.9392
99.426
125.6372
113.664
94.6964
111.0392
134.3712
206.544
186.6236
151.5232
114.2728
114.6072
130.142
122.3156
109.2984
106.3384
145.3012
162.6284
113.5272
118.21
108.474
114.0308
115.726
122.962
119.1952
90.9864
120.7884
117.5412
109.0064
124.3588
120.4052
126.45
114.9788
121.2936
103.1716
112.0332
124.9336
119.2076
136.4552
116.9864
121.938
120.5232
118.3392
121.486
111.856
117.3204
123.0796
120.3668
120.2276
105.4408
122.718
111.526
111.752
117.9248
119.9816
124.8396
119.9784
117.9864
118.4264
122.294
116.8592
118.214
122.1476
123.5176
120.8368
122.1884
117.2532
119.836
128.5584
111.1204
129.256
114.3676
141.142
176.2048
114.3192
115.0824
108.458
140.4336
130.6512
131.9924
137.9756
133.822
138.2536
130.9464
141.7692
135.4124
139.738
129.1916
135.6532
138.6416
136.034
151.7528
135.4992
132.3224
144.5504
179.1832
132.922
141.5792
165.2296
145.3252
214.1588
136.4268
219.6836
153.9344
139.65
130.7544
136.2096
134.7088
141.4652
117.6096
136.9444
115.0552
116.9612
126.9564
136.4604
149.2592
181.4248
151.9076
166.486
155.0024
163.1456
167.9224
162.0804
169.5604
158.048
188.1884
163.7384
170.6124
160.6392
145.388
188.6492
163.8768
150.4696
158.6464
145.042
136.2424
166.32
166.6444
178.7456
160.5596
180.9772
175.4544
180.2852
190.914
165.61
162.2208
178.646
165.2736
181.7064
172.7492
158.426
162.2204
174.8052
187.722
162.2288
160.5728
150.0952
175.3744
173.5856
174.6856
172.7884
179.1604
172.1796
155.7668
170.502
171.5456
169.5284
159.0088
166.6712
160.1936
148.576
173.1308
150.642
180.1064
137.962
162.4592
170.9588
169.5636
160.0336
133.716
161.0628
165.2856
150.8136
140.2932
150.2612
180.2224
156.1724
158.4144
140.9548
152.9792
188.644
153.8804
138.2244
147.16
163.5672
159.9896
166.9076
170.5412
146.1824
170.618
157.0888
155.8168
145.0712
146.5924
172.6408
140.3996
143.4592
150.3912
149.2204
166.7052
164.8148
177.364
186.2768
184.8392
181.1488
155.5156
164.2356
191.5332
181.54
183.1012
174.9696
171.0748
157.0084
149.4472
155.3228
155.5716
150.2176
162.2976
138.9236
130.108
128.8492
131.878
139.09
136.8712
124.0876
128.4828
135.1672
134.2704
127.1248
136.1652
132.6828
122.306
131.134
160.2844
137.018
130.3532
124.3768
128.9332
110.9528
121.092
116.2404
121.9456
121.8984
100.1176
95.404
119.0368
138.8064
125.3744
113.5424
115.9268
118.9208
122.7232
130.6836
133.1692
